STATEFP|DISTRICT|NAME|NAMELSAD
17|22870|Leland Community Unit School District 1|Leland Community Unit School District 1
17|23200|Lisle Community Unit School District 202|Lisle Community Unit School District 202
17|23250|Litchfield Community Unit School District 12|Litchfield Community Unit School District 12
17|23640|Brooklyn Community Unit School District 188|Brooklyn Community Unit School District 188
17|23670|Lovington Community Unit School District 303|Lovington Community Unit School District 303
17|23920|Macomb Community Unit School District 185|Macomb Community Unit School District 185
17|23970|Madison Community Unit School District 12|Madison Community Unit School District 12
17|24060|Mahomet-Seymour Community Unit School District 3|Mahomet-Seymour Community Unit School District 3
17|24390|Manteno Community Unit School District 5|Manteno Community Unit School District 5
17|24480|Kaneland Community Unit School District 302|Kaneland Community Unit School District 302
17|24600|Marion Community Unit School District 2|Marion Community Unit School District 2
17|24650|Marissa Community Unit School District 40|Marissa Community Unit School District 40
17|24750|Maroa-Forsyth Community Unit School District 2|Maroa-Forsyth Community Unit School District 2
17|24870|Marshall Community Unit School District 2C|Marshall Community Unit School District 2C
17|24900|Martinsville Community Unit School District 3C|Martinsville Community Unit School District 3C
17|24940|Mascoutah Community Unit School District 19|Mascoutah Community Unit School District 19
17|25000|Massac Unit School District 1|Massac Unit School District 1
17|25050|Mattoon Community Unit School District 2|Mattoon Community Unit School District 2
17|25590|Community Unit School District 4|Community Unit School District 4
17|25680|Meredosia-Chambersburg Community Unit School District 11|Meredosia-Chambersburg Community Unit School District 11
17|25690|Meridian Community Unit School District 223|Meridian Community Unit School District 223
17|26400|Moline Unit School District 40|Moline Unit School District 40
17|26430|Momence Community Unit School District 1|Momence Community Unit School District 1
17|26550|Monticello Community Unit School District 25|Monticello Community Unit School District 25
17|26710|Morrison Community Unit School District 6|Morrison Community Unit School District 6
17|26760|Morrisonville Community Unit School District 1|Morrisonville Community Unit School District 1
17|26800|Morton Community Unit School District 709|Morton Community Unit School District 709
17|26970|Meridian Community Unit School District 101|Meridian Community Unit School District 101
17|27180|Mount Olive Community Unit School District 5|Mount Olive Community Unit School District 5
17|27290|Mount Pulaski Community Unit District 23|Mount Pulaski Community Unit District 23
17|27300|Brown County Community Unit School District 1|Brown County Community Unit School District 1
17|27390|Mount Zion Community Unit School District 3|Mount Zion Community Unit School District 3
17|27450|Mulberry Grove Community Unit School District 1|Mulberry Grove Community Unit School District 1
17|27610|Murphysboro Community Unit School District 186|Murphysboro Community Unit School District 186
17|27710|Naperville Community Unit District 203|Naperville Community Unit District 203
17|27780|Nauvoo-Colusa Community Unit School District 325|Nauvoo-Colusa Community Unit School District 325
